3	48
4	67
5	20
5	73
6	54
7	5
7	30
8	44
8	64
9	33
9	57
10	12
10	28
11	38
12	19
12	77
14	6
14	36
14	46
15	11
15	62
15	68
16	42
16	50
18	24
18	55
21	15
21	34
22	47
22	54
23	28
23	41
23	64
26	8
26	21
26	58
26	74
27	70
28	32
28	80
29	7
29	45
29	54
32	14
32	22
32	74
34	51
34	58
34	66
35	42
36	77
38	39
39	3
40	15
40	45
40	52
40	66
41	28
41	61
43	79
45	70
46	7
46	21
49	35
49	45
49	59
50	49
51	74
51	81
53	12
54	54
54	69
55	26
56	73
57	38
57	64
58	6
58	80
59	14
60	45
62	3
62	60
62	77
63	71
64	6
64	54
66	12
66	21
66	30
66	42
66	65
66	78
68	27
68	33
69	46
70	4
70	38
71	16
71	30
71	73
71	80
73	21
74	14
74	55
74	77
75	9
75	31
75	44
76	40
76	68
77	35
77	80
79	28
79	54
80	71
81	63
82	40
82	46
82	51
82	58
