"Filename","Number of Cells","Cell Density (cells/mm^2)","Mean N-N (um)","Cropped Coordinate Area (um^2)","Mean Voronoi Cell Area (um^2)","Number of Bounded Cells","Total Voronoi Area (um^2)",
"MT025aODbaseline1_003_113 ref 203_4.94deg N0.71deg I_coords.txt",114,37686,3.8856,3025,24.01,79,1896.8
"MT025aODbaseline1_002_103 ref 60_7.19deg N0.17deg I_coords.txt",120,39669,3.5436,3025,23.328,85,1982.9
"MT025aODbaseline1_003_113 ref 203_4.94deg N0.71deg I_coords.txt",114,37686,3.8856,3025,24.01,79,1896.8
"MT025aODbaseline1_002_103 ref 60_7.19deg N0.17deg I_coords.txt",120,39669,3.5436,3025,23.328,85,1982.9
"MT025aODbaseline1_003_113 ref 203_4.94deg N0.71deg I_coords.txt",114,37686,3.8856,3025,24.01,79,1896.8
"MT025aODbaseline1_003_113 ref 203_4.94deg N0.71deg I_coords.txt",114,37686,3.8812,3025,24.01,79,1896.8
"MT025aODbaseline1_002_103 ref 60_7.19deg N0.17deg I_coords.txt",115,38017,3.5516,3025,24.342,80,1947.3
"MT025aODbaseline1_003_113 ref 203_4.94deg N0.71deg I_coords.txt",114,37686,3.8857,3025,24.01,79,1896.8
"MT025aODbaseline1_002_103 ref 60_7.19deg N0.17deg I_coords.txt",120,39669,3.5436,3025,23.328,85,1982.9
"MT025aODbaseline1_003_113 ref 203_4.94deg N0.71deg I_coords.txt",114,37686,3.8856,3025,24.01,79,1896.8
"MT025aODbaseline1_002_103 ref 60_7.19deg N0.17deg I_coords.txt",120,39669,3.5436,3025,23.328,85,1982.9
"MT025aODbaseline1_003_113 ref 203_4.94deg N0.71deg I_coords.txt",114,37686,3.8856,3025,24.01,79,1896.8
"MT025aODbaseline1_002_103 ref 60_7.19deg N0.17deg I_coords.txt",120,39669,3.5436,3025,23.328,85,1982.9
"MT025aODbaseline1_003_113 ref 203_4.94deg N0.71deg I_coords.txt",114,37686,3.8856,3025,24.01,79,1896.8
"MT025aODbaseline1_002_103 ref 60_7.19deg N0.17deg I_coords.txt",120,39669,3.5436,3025,23.328,85,1982.9
"MT025aODbaseline1_003_113 ref 203_4.94deg N0.71deg I_coords.txt",114,37686,3.8856,3025,24.01,79,1896.8
"MT025aODbaseline1_002_103 ref 60_7.19deg N0.17deg I_coords.txt",120,39669,3.5436,3025,23.328,85,1982.9
"MT025aODbaseline1_003_113 ref 203_4.94deg N0.71deg I_coords.txt",114,37686,3.8856,3025,24.01,79,1896.8
"MT025aODbaseline1_003_113 ref 203_4.94deg N0.71deg I_coords.txt",114,37686,3.8856,3025,24.01,79,1896.8
"MT025aODbaseline1_002_103 ref 60_7.19deg N0.17deg I_coords.txt",120,39669,3.5436,3025,23.328,85,1982.9
